open_time,open,high,low,close,volume
1757692800000,115064.80,116605.70,114989.90,116561.10,27949.158
1757707200000,116561.00,116561.00,115701.40,115978.40,14733.380
1757721600000,115978.40,116245.40,115500.10,115913.60,10867.694
1757736000000,115913.60,115913.60,115594.90,115715.50,6578.872
1757750400000,115715.50,116126.00,115715.50,115912.90,6897.627
1757764800000,115913.00,116013.70,115546.10,115721.30,9103.390
1757779200000,115721.40,115780.30,115032.00,115751.40,15004.094
1757793600000,115751.40,115946.40,115745.60,115862.70,4077.913
1757808000000,115862.70,116075.80,115580.00,115626.00,7677.134
1757822400000,115626.00,115884.10,115406.10,115746.00,4741.452
1757836800000,115746.10,116118.60,115700.30,115750.00,7509.269
1757851200000,115750.00,115828.10,115100.50,115162.20,15997.510
1757865600000,115162.20,115605.50,115132.40,115597.40,5946.542
1757880000000,115597.30,116050.00,115057.00,115210.00,13216.083
1757894400000,115210.00,115536.00,114777.00,115387.60,13576.469
1757908800000,115387.70,116759.90,115341.80,115769.50,27463.691
1757923200000,115769.60,115769.60,114588.00,115009.00,30239.543
1757937600000,115009.00,115045.50,114338.50,114788.40,25881.909
1757952000000,114788.10,115528.80,114542.60,115246.70,14288.385
1757966400000,115246.70,115550.00,115141.40,115300.60,6461.282
1757980800000,115300.50,115490.80,114890.00,115250.90,8274.606
1757995200000,115250.80,115968.00,114867.00,115799.40,18532.273
1758009600000,115799.40,115945.00,115151.00,115222.20,9903.929
1758024000000,115222.10,115878.20,114600.00,115877.90,24558.996
1758038400000,115877.90,116830.00,115549.90,116758.00,28427.493
1758052800000,116757.10,116910.80,116543.70,116747.30,9748.887
1758067200000,116747.30,117081.90,116317.00,116320.10,11721.837
1758081600000,116320.20,117266.40,116107.20,117120.50,19903.725
1758096000000,117120.50,117156.60,116197.00,116200.10,14747.898
1758110400000,116200.10,116493.00,115340.00,115825.10,27934.073
1758124800000,115825.10,116316.00,114623.30,115587.60,61585.442
1758139200000,115587.50,116940.00,115257.10,116402.50,22232.095
1758153600000,116402.60,117865.90,116033.50,117531.20,30344.595
1758168000000,117531.30,117713.50,116834.50,117033.60,17350.923
1758182400000,117033.70,117381.90,116955.00,117015.00,10057.804
1758196800000,117015.00,117789.90,116913.90,117530.30,22097.569
1758211200000,117530.20,117875.20,117133.00,117403.00,12457.020
1758225600000,117402.90,117605.80,116489.70,117017.10,14907.806
1758240000000,117017.10,117406.80,116800.00,116914.20,10269.210
1758254400000,116914.10,117049.90,116567.30,116850.10,12862.505
